,SOI,window_size,up_z,low_z,1000_today,inc_per_share,avg_p_change,days_per_hold,trades_per_year,earnings_per_year
132,dlph_adj,208.0,3.16,3.02,1595.90579905,29.5332206,0.595905799051,418.0,0.803855683899,0.482674989854
431,tso_adj,62.0,3.16,2.7,1945.02862833,41.0251634,0.68894460437,611.583333333,0.71573493391,0.482119582926
170,fb_adj,41.0,2.32,2.76,1940.16666025,48.8109961,0.484375439389,198.2,2.58070263527,0.477965667124
3,aapl_adj,66.0,3.12,2.54,2114.13619697,66.0373997,0.567284534796,440.75,0.635641120856,0.47788486754
296,mmc_adj,60.0,3.12,2.5,1731.67812881,30.571408,0.731678128817,764.6,0.340047223078,0.477492213467
325,nsc_adj,282.0,2.42,3.06,1498.59498013,34.7581268,0.498594980132,312.6,0.832110515805,0.477476916577
89,ci_adj,64.0,3.1,3.2,1585.57175141,46.411234,0.477288680985,237.7,1.24464324159,0.473914519272
57,bbt_adj,249.0,3.3,3.22,1455.14655805,13.7640654,0.455146558051,209.6,1.24051565795,0.473639161889
193,glw_adj,173.0,2.78,2.94,1501.70399438,8.1433674,0.501703994377,323.6,1.58920666019,0.469534988728
417,tdg_adj,260.0,3.4,3.1,1407.12273521,69.752817,0.407122735211,77.0,3.37662337662,0.468716977888
422,tjx_adj,212.0,2.94,1.88,1475.62369428,24.2678612,0.475623694275,280.6,0.927134318969,0.468061501357
350,ph_adj,274.0,2.68,2.98,1479.32623355,44.6551856,0.479326233551,292.3,0.89085856117,0.467668632052
353,pld_adj,110.0,2.74,2.68,1590.23913694,19.6053362,0.590239136942,516.9,1.00846296373,0.467540101495
128,dis_adj,80.0,3.16,2.02,1783.99127246,45.6517704,0.742384238583,784.45,0.355732958328,0.467332077909
177,fisv_adj,38.0,3.24,2.34,2125.85331732,52.0254933,0.497493004712,304.933333333,0.975391608459,0.4671707236
266,lll_adj,264.0,3.22,2.24,1441.58625735,44.372743,0.441586257355,192.0,1.35719372645,0.465775951604
135,dnb_adj,282.0,2.44,2.64,1437.05480639,41.7387154,0.437054806384,197.8,1.4102289285,0.463339480335
176,fis_adj,220.0,2.8,2.02,1449.02892854,25.4498818,0.449028928546,226.3,1.39191919192,0.462966150416
418,tel_adj,209.0,2.86,2.76,1439.89692582,21.6920105,0.439896925817,192.0,1.66925071039,0.461723299991
354,pm_adj,226.0,3.24,2.98,1650.74252483,43.0620922,0.650742524835,687.7,0.395420522788,0.460948576937
52,azo_adj,88.0,3.3,2.84,1467.85513218,237.1910063,0.467855132184,276.4,0.971186017479,0.460757430843
64,bk_adj,244.0,2.96,2.98,1436.69746073,14.3985695,0.436697460733,201.4,1.29309945229,0.456966353395
234,ip_adj,213.0,2.48,3.0,1539.33689859,19.3649092,0.481174982135,326.85,0.841379052046,0.456792077699
42,aph_adj,138.0,2.78,2.56,1541.27913691,24.2347241,0.541279136911,472.2,0.751677796739,0.454744186203
149,eix_adj,18.0,3.14,2.44,1740.38254928,31.5738266,0.740382549282,870.2,0.300318429145,0.452858852606
411,syk_adj,148.0,2.8,2.34,1452.36400231,39.313657,0.452364002306,268.1,0.973463936202,0.448802322369
77,cbg_adj,214.0,2.98,3.34,1442.17275345,10.4899991,0.442172753451,240.3,1.0927510122,0.448205590067
196,googl_adj,288.0,2.74,2.28,1406.89459285,202.3399958,0.406894592854,132.4,1.96856748434,0.447456716846
108,cpb_adj,90.0,3.08,2.98,1526.05013905,20.3085552,0.526050139047,503.4,0.573938683283,0.446413261901
276,lvlt_adj,111.0,2.56,3.0,1598.94149309,19.7179996,0.507110182142,415.6,0.636006498619,0.446148084878
430,tsn_adj,20.0,3.18,2.54,1848.55994969,28.128726,0.628146911763,626.7,0.502672006893,0.44474256424
467,wm_adj,60.0,3.34,2.54,1588.70718941,23.9088624,0.588707189412,560.1,0.502025614184,0.444528517071
338,payx_adj,137.0,3.04,2.68,1460.12823234,18.4879679,0.460128232338,285.7,1.0499305814,0.444337210109
87,chrw_adj,248.0,3.06,2.72,1661.18748848,32.0426366,0.661187488476,762.3,0.341104108144,0.444312640751
395,sna_adj,57.0,3.04,2.44,1687.47373067,64.3935471,0.554803499948,541.6,0.48727589208,0.444311089373
211,hd_adj,26.0,3.12,2.28,2186.26241718,82.3157548,0.509279278471,449.55,0.578603445929,0.44094258253
481,xyl_adj,144.0,2.62,3.16,1884.7236927,22.3860461,0.416287926512,180.366666667,1.46794845193,0.440504256544
71,c_adj,258.0,2.84,3.22,1429.39998387,18.017826,0.429399983871,227.0,1.14537444934,0.440031245165
216,hon_adj,155.0,3.1,2.64,1604.05802761,46.8088552,0.604058027613,663.0,0.40399660348,0.438859712827
37,antm_adj,70.0,3.06,2.34,1851.24166396,68.8324103,0.480660784572,357.8,0.774655705972,0.438346750191
466,whr_adj,276.0,1.8,2.24,1401.61153497,53.5253474,0.40161153497,147.2,1.79466253015,0.438328182126
244,jnj_adj,220.0,2.96,3.08,1482.04793685,41.945273,0.482047936847,391.0,0.664961636829,0.436955329513
122,de_adj,280.0,3.0,2.68,1444.33434759,31.076938,0.444334347587,290.0,0.896551724138,0.434604077844
99,cnc_adj,92.0,2.14,3.36,1376.42064325,19.0769982,0.376420643252,61.7,4.23029457874,0.434191050416
458,vtr_adj,280.0,2.38,2.4,1415.03851284,20.5820011,0.415038512842,209.6,1.24113741939,0.430583896117
21,aiz_adj,98.0,2.26,3.28,1398.18931862,25.5872749,0.398189318616,153.5,1.69764820504,0.429837039589
484,yum_adj,164.0,2.94,2.4,1448.50548774,21.0462457,0.448505487733,317.5,0.919709358584,0.429680586452
26,all_adj,256.0,3.08,2.42,1467.15478014,25.7304158,0.467154780148,373.8,0.695622724579,0.429475524714
332,oke_adj,114.0,2.8,2.54,1663.49968288,21.4357024,0.623113665056,667.55,0.433840623726,0.428396619461
381,rop_adj,44.0,3.3,2.26,1740.34362441,86.0148288,0.740343624419,961.6,0.270389483594,0.428362996342
401,spls_adj,212.0,2.98,3.08,1407.38489626,4.0169377,0.407384896262,193.0,1.34768387741,0.427739390181
68,bsx_adj,162.0,3.02,2.44,1105.88978004,3.155999,0.406164114744,182.25,2.76600695531,0.427026050777
175,ffiv_adj,270.0,2.36,2.7,1417.23028475,40.8740049,0.41723028475,232.0,1.12471084762,0.425830087804
145,ebay_adj,236.0,2.84,2.4,1405.21565441,8.5723805,0.405215654406,197.0,1.59645299026,0.425660495151
225,hum_adj,115.0,3.36,2.3,1786.45564577,92.5979619,0.403213968502,176.233333333,1.70067008871,0.425084937588
235,ipg_adj,98.0,3.06,2.66,1511.54579358,8.0622606,0.511545793577,507.1,0.567462755579,0.424011157413
105,coo_adj,173.0,2.26,2.76,1401.96255885,52.4350935,0.401962558855,186.5,1.47578324277,0.423114562725
298,mnst_adj,184.0,2.24,2.26,1555.05577009,15.8056663,0.39037057056,144.6,2.13823684644,0.42132359697
148,efx_adj,54.0,3.1,2.7,1881.40317653,57.2359794,0.433489854294,293.35,0.929012704848,0.420982568977
